url,title,price_usd,price_kgs,year,mileage_km,engine,transmission,city,image_url
https://mashina.kg/details/toyota-wish-6a0094a2aee79144000301,Toyota Wish I,6061,530000,2003,299999,1.8 л.,автомат,Таш-Кумыр,https://im.mashina.kg/tachka/images/2/6/7/267b2a8aa31860842b4889e9a750e488_640x480.jpg
https://mashina.kg/details/gac-aion-y-plus-69961ae3b3499382378464,GAC Aion Y Plus,12900,1128105,2023,999,,,Бишкек,https://im.mashina.kg/tachka/images/5/b/9/5b97e889b53bc145f5aa332ecd9bd573_640x480.jpg
https://mashina.kg/details/byd-e2-69b0e5425c06b694825002,BYD E2 I,7650,668992,2021,135000,,,Бишкек,https://im.mashina.kg/tachka/images/5/3/5/5352abe19d583fbe9908e1e7a9a4063e_640x480.jpg
https://mashina.kg/details/aiways-u5-6996af9278c01042684133,Aiways U5,9000,787050,2022,88000,,,Бишкек,https://im.mashina.kg/tachka/images/d/6/7/d679d92b370608b35b85d2c3bcf41bef_640x480.jpg
https://mashina.kg/details/hyundai-grandeur-6a0036810a9b0304761711,Hyundai Grandeur VI,10900,953205,2017,227000,2.4 л.,автомат,Манас (Джалал-Абад),https://im.mashina.kg/tachka/images/b/7/6/b7695d5c1b32f9d7b6ec60d9a76b701e_640x480.jpg
https://mashina.kg/details/toyota-rav4-69f09d1d3cc59143358718,Toyota RAV4 V (XA50),27900,2439855,2019,185000,2.5 л.,автомат,Бишкек,https://im.mashina.kg/tachka/images/d/1/1/d11ef437e8e4fb1304f4c41412508527_640x480.jpg
https://mashina.kg/details/subaru-outback-69f09639bebd0803741251,Subaru Outback VI,22500,1967625,2020,159003,2.4 л.,вариатор,Бишкек,https://im.mashina.kg/tachka/images/1/f/c/1fcfbb7fcc10be0a9996f775622d4bca_640x480.jpg
https://mashina.kg/details/lexus-gx-6a06e6c30b9a3c57c3f26292,Продажа Lexus GX I 2008,28500,2492325,2008,212000,4.7 л.,автомат,Ош,https://storage.mashina.kg/catalog/images/2026-05-15/10033810/9b1df013ef3d27c28937de3f74d4109e_medium.webp
https://mashina.kg/details/subaru-forester-69f0905c23d31234686688,Subaru Forester V,18900,1652805,2019,80000,2.5 л.,вариатор,Бишкек,https://im.mashina.kg/tachka/images/6/a/8/6a8700baa82331369c5f5436aaefd169_640x480.jpg
https://mashina.kg/details/lexus-gx-6a05cce02ac5d5c160b0609c,Продажа Lexus GX II Рестайлинг 2 2020,48000,4197600,2020,122000,4.6 л.,-1,Бишкек,https://storage.mashina.kg/catalog/images/2026-05-15/10032793/57f2df51de4f58b33ff39527e4108c31_medium.webp
https://mashina.kg/details/toyota-highlander-69e5d2193f482639860657,Toyota Highlander IV (U70),45000,3935250,2026,1,2.0 л.,автомат,Бишкек,https://im.mashina.kg/tachka/images/4/3/f/43f86dccaf5f4c973da1242281eb8c01_640x480.jpg
https://mashina.kg/details/honda-crv-69f1b6be86959923367966,Honda CR-V II Рестайлинг,12250,1071262,2006,300000,2.0 л.,автомат,Талас,https://im.mashina.kg/tachka/images/6/a/b/6ab6a2d59d7bc46975e705a3560f8e2b_640x480.jpg
https://mashina.kg/details/toyota-rav4-69ea07d12e27c542754980,Toyota RAV4 V (XA50),33200,2903340,2026,1,2.5 л.,автомат,Бишкек,https://im.mashina.kg/tachka/images/f/8/c/f8c13dc5461e7dd6f568e11379ade898_640x480.jpg
https://mashina.kg/details/toyota-camry-69d1199d93bc3441830373,Toyota Camry VIII (XV70) Рестайлинг,21000,1836450,2021,143000,2.5 л.,вариатор,Бишкек,https://im.mashina.kg/tachka/images/7/4/c/74cb1b6b439c1764bd313209860504af_640x480.jpg
https://mashina.kg/details/bmw-x7-6a05aaa1ba5116196a751339,Продажа BMW X7 I (G07) 2021,67000,5859150,2021,75000,3.0 л.,автомат,Бишкек,https://storage.mashina.kg/catalog/images/2026-05-15/10032666/da745fbe1732e14b13617fd60418368a_medium.webp
https://mashina.kg/details/hyundai-santa-fe-69e4caaa05bb8410324259,Hyundai Santa Fe IV,15700,1372965,2018,102000,2.4 л.,автомат,Бишкек,https://im.mashina.kg/tachka/images/9/d/c/9dcf6f708a0448a2e3e1987ef679c58c_640x480.jpg
https://mashina.kg/details/gac-trumpchi-s7-69eaffd21a44a125771203,GAC Trumpchi S7,36000,3148200,2026,1,1.5 л.,автомат,Бишкек,https://im.mashina.kg/tachka/images/f/9/6/f96f8a5caf742b7c8d7fc52fb0a1ade6_640x480.jpg
